分店名稱,Fri.Morning,Fri.MorningPr,Fri.MorningHr,Fri.MorningS,Fri.Noon,Fri.NoonPr,Fri.NoonHr,Fri.NoonS,Fri.Afternoon,Fri.Afternoon.Pr,Fri.Afternoon.Hr,Fri.Afternoon.S,Fri.Night,Fri.NightPr,Fri.NightHr,Fri.NightS,Fri.Mid,Fri.MidPr,Fri.MidHr,Fri.MidS,店,地址,電話,威力卡
松隆店,09:30-10:59,222,5,40,11:00-14:59,242,3,40,15:00-18:59,312,3,40,19:00-22:59,NA,NA,NA,23:00-06:30,NA,NA,NA,好樂迪,台北市信義區松隆路327號B1,02-2769-1099,0.9
西寧店,06:00-10:59,202,5,40,11:00-18:59,222,4,40,11:00-18:59,222,4,40,19:00-22:59,352,3,80,23:00-05:59,352,4,80,好樂迪,台北市萬華區西寧南路62號,02-2388-0768,0.9
中興店,06:00-11:59,NA,NA,NA,12:00-13:59,232,5,40,14:00-18:59,232,3,40,19:00-22:59,382,3,80,23:00-05:59,382,4,80,好樂迪,台北市松山區復興南路一段29號,02-2751-2508,0.9
景美店,06:00-10:59,202,6,40,11:00-18:59,242,3,40,11:00-18:59,242,3,40,19:00-22:59,372,3,80,23:00-05:59,372,4,80,好樂迪,台北市文山區羅斯福路六段403號1-2F,02-2934-8000,0.9
內湖店,06:00-11:59,NA,NA,NA,12:00-18:59,232,3,40,12:00-18:59,232,3,40,19:00-22:59,392,3,80,23:00-05:59,392,3,80,好樂迪,台北市內湖區成功路四段68號B1,02-2795-1389,0.9
錦州店,07:00-11:59,NA,NA,NA,12:00-18:59,230,3,40,12:00-18:59,230,3,40,19:00-22:59,380,3,80,23:00-06:59,380,4,80,好樂迪,台北市中山區錦州街19號,02-2571-1912,0.9
石牌店,10:00-10:59,220,5,40,11:00-14:59,260,4,40,15:00-18:59,290,3,100,19:00-22:59,NA,NA,NA,23:00-05:59,NA,NA,NA,好樂迪,台北市北投區裕民六路128號,02-2822-2168,0.9
木柵店,06:00-10:59,NA,NA,NA,11:00-18:59,242,3,40,11:00-18:59,242,3,40,19:00-22:59,352,3,80,23:00-05:59,372,6,0,好樂迪,台北市木柵路三段96號,02-8661-6308,0.9
館前店,10:00-10:59,NA,NA,NA,11:00-18:59,222,3,40,11:00-18:59,222,3,40,19:00-22:59,352,3,80,23:00-04:59,362,5,0,好樂迪,台北市中正區館前路34號,02-2381-9208,0.9
通化店,06:00-11:59,NA,NA,NA,12:00-18:59,232,3,40,12:00-18:59,232,3,40,19:00-22:59,352,3,100,23:00-05:59,372,3,100,好樂迪,台北市基隆路信義區二段111號,02-2739-4288,0.9
